repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
Smiling-17-hackathon,0,fa472e7c6f64b944d91d154f02c6c9c3975597b9,2025-11-29T10:42:06+00:00,,282.10,14419,0,75,0,0,1,0,1,Upload
Smiling-17-hackathon,1,f65b6511577e803720c36781beaf39855e7bd591,2025-11-29T10:53:48+00:00,11.70,293.80,176,0,1,0,0,1,0,0,Update
Smiling-17-hackathon,2,dbc246dc04374df1b09d0d8e9576747a9605232d,2025-11-29T10:54:48+00:00,1.00,294.80,353,0,1,0,0,1,0,0,Update
Smiling-17-hackathon,3,cf60122374cd6d2995ef1a36545fadea1d53980e,2025-11-29T11:06:02+00:00,11.23,306.03,244,25,2,0,0,1,0,0,Update
Smiling-17-hackathon,4,16c68672f7d1bc3c6707824d4edfa7ba6e051d22,2025-11-29T11:16:45+00:00,10.72,316.75,194,103,4,0,0,1,0,0,Update
